         11476 function calls (11474 primitive calls) in 8.524 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.045    0.004    0.045    0.004 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.035    0.035 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\http\server.py:135(server_bind)
        1    0.000    0.000    0.035    0.035 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:791(getfqdn)
        1    0.035    0.035    0.035    0.035 {built-in method _socket.gethostbyaddr}
        1    0.000    0.000    0.034    0.034 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\cli.py:774(show_server_banner)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\utils.py:222(echo)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\_compat.py:541(_safe_write)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\colorama\ansitowin32.py:46(write)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\colorama\ansitowin32.py:192(write_and_convert)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\colorama\ansitowin32.py:208(write_plain_text)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\_winconsole.py:203(write)
        2    0.034    0.017    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\_winconsole.py:174(write)
        1    0.000    0.000    0.030    0.030 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:682(get_interface_ip)
        1    0.030    0.030    0.030    0.030 {method '__exit__' of '_io._IOBase' objects}
        2    0.020    0.010    0.020    0.010 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:220(__init__)
        1    0.000    0.000    0.020    0.020 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socketserver.py:445(__init__)
        1    0.016    0.016    0.017    0.017 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.016    0.016    0.016    0.016 {built-in method builtins.print}
        2    0.000    0.000    0.015    0.008 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:498(close)
        2    0.000    0.000    0.015    0.008 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:494(_real_close)
        2    0.015    0.008    0.015    0.008 {function socket.close at 0x000002091CBF49D0}
        1    0.000    0.000    0.015    0.015 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:239(__exit__)
        2    0.015    0.008    0.015    0.008 {method 'getsockname' of '_socket.socket' objects}
        1    0.000    0.000    0.013    0.013 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:810(lookup)
        1    0.000    0.000    0.013    0.013 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:816(__init__)
        1    0.000    0.000    0.013    0.013 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:787(children)
        1    0.000    0.000    0.012    0.012 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:794(zip_children)
        1    0.000    0.000    0.012    0.012 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\zipfile.py:2368(__init__)
        1    0.000    0.000    0.012    0.012 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\zipfile.py:2244(make)
        1    0.000    0.000    0.012    0.012 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\zipfile.py:1237(__init__)
       14    0.000    0.000    0.010    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\scaffold.py:45(wrapper_func)
        7    0.000    0.000    0.010    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\app.py:604(add_url_rule)
        7    0.000    0.000    0.010    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\map.py:170(add)
        7    0.000    0.000    0.009    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\rules.py:566(bind)
        7    0.000    0.000    0.009    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\rules.py:699(compile)
       14    0.001    0.000    0.009    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\rules.py:740(_compile_builder)
        6    0.000    0.000    0.008    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\scaffold.py:360(decorator)
      483    0.001    0.000    0.005    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\ast.py:380(walk)
      455    0.001    0.000    0.004    0.000 {method 'extend' of 'collections.deque' objects}
      876    0.002    0.000    0.003    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\ast.py:267(iter_child_nodes)
        1    0.000    0.000    0.003    0.003 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\app.py:226(__init__)
        1    0.000    0.000    0.002    0.002 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:665(get_sockaddr)
