         103506 function calls (102782 primitive calls) in 28.232 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.132    0.132 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_headers.py:1(<module>)
        1    0.000    0.000    0.127    0.127 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\app.py:226(__init__)
        1    0.000    0.000    0.124    0.124 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\asyncio\events.py:781(new_event_loop)
        1    0.000    0.000    0.124    0.124 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\asyncio\events.py:667(new_event_loop)
        1    0.000    0.000    0.124    0.124 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\asyncio\windows_events.py:312(__init__)
        1    0.000    0.000    0.123    0.123 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\asyncio\proactor_events.py:628(__init__)
        1    0.000    0.000    0.123    0.123 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\asyncio\proactor_events.py:765(_make_self_pipe)
        1    0.000    0.000    0.123    0.123 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:595(_fallback_socketpair)
        1    0.000    0.000    0.116    0.116 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\extensions.py:1(<module>)
        1    0.000    0.000    0.113    0.113 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\frame_protocol.py:1(<module>)
        1    0.051    0.051    0.110    0.110 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\frame_protocol.py:18(<listcomp>)
      188    0.098    0.001    0.099    0.001 <frozen importlib._bootstrap_external>:96(_path_join)
        7    0.000    0.000    0.068    0.010 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\scaffold.py:45(wrapper_func)
        4    0.000    0.000    0.068    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\app.py:604(add_url_rule)
        4    0.000    0.000    0.067    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\map.py:170(add)
        4    0.000    0.000    0.067    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\rules.py:566(bind)
        4    0.000    0.000    0.067    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\rules.py:699(compile)
        8    0.061    0.008    0.066    0.008 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\routing\rules.py:740(_compile_builder)
        1    0.000    0.000    0.063    0.063 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solutions\hands.py:89(__init__)
        1    0.000    0.000    0.063    0.063 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\app.py:282(__init__)
        1    0.062    0.062    0.063    0.063 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solution_base.py:186(__init__)
        1    0.000    0.000    0.062    0.062 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\app.py:510(auto_find_instance_path)
        1    0.000    0.000    0.062    0.062 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\scaffold.py:754(find_package)
        1    0.062    0.062    0.062    0.062 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\sansio\scaffold.py:709(_find_package_path)
    65792    0.059    0.000    0.059    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\frame_protocol.py:18(<genexpr>)
       25    0.000    0.000    0.051    0.002 <frozen importlib._bootstrap>:564(module_from_spec)
       25    0.000    0.000    0.051    0.002 <frozen importlib._bootstrap>:492(_init_module_attrs)
       50    0.001    0.000    0.051    0.001 <frozen importlib._bootstrap_external>:380(cache_from_source)
       50    0.000    0.000    0.050    0.001 <frozen importlib._bootstrap>:391(cached)
       25    0.000    0.000    0.050    0.002 <frozen importlib._bootstrap_external>:510(_get_cached)
       44    0.000    0.000    0.049    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\utils\jsonapi.py:20(dumps)
       44    0.046    0.001    0.048    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\json\__init__.py:183(dumps)
        3    0.048    0.016    0.048    0.016 {method 'set' of 'cv2.VideoCapture' objects}
       17    0.000    0.000    0.036    0.002 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:1174(wrap)
       17    0.001    0.000    0.036    0.002 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:881(_process_class)
       55    0.023    0.000    0.034    0.001 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\collections\__init__.py:328(namedtuple)
        1    0.032    0.032    0.032    0.032 {destroyAllWindows}
        3    0.000    0.000    0.032    0.011 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       40    0.000    0.000    0.032    0.001 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        3    0.000    0.000    0.032    0.011 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        3    0.032    0.011    0.032    0.011 {built-in method nt.listdir}
        1    0.031    0.031    0.031    0.031 {method 'connect' of '_socket.socket' objects}
       90    0.001    0.000    0.030    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:412(_create_fn)
        1    0.000    0.000    0.019    0.019 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:498(close)
        1    0.000    0.000    0.019    0.019 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:494(_real_close)
        1    0.019    0.019    0.019    0.019 {function socket.close at 0x000002091CBF49D0}
       11    0.000    0.000    0.017    0.002 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:842(_hash_add)
       11    0.000    0.000    0.017    0.002 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\dataclasses.py:637(_hash_fn)
       25    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:1531(_get_spec)
       25    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       28    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.016    0.016    0.016    0.016 {method 'bind' of '_socket.socket' objects}
       28    0.016    0.001    0.016    0.001 {built-in method nt._path_splitroot}
        3    0.000    0.000    0.016    0.005 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.016    0.016    0.016    0.016 {method 'listen' of '_socket.socket' objects}
        3    0.000    0.000    0.016    0.005 <frozen importlib._bootstrap_external>:164(_path_isdir)
        3    0.000    0.000    0.016    0.005 <frozen zipimport>:64(__init__)
        1    0.015    0.015    0.015    0.015 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solution_base.py:358(close)
        1    0.000    0.000    0.015    0.015 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:286(accept)
        1    0.015    0.015    0.015    0.015 {method '_accept' of '_socket.socket' objects}
        3    0.013    0.004    0.013    0.004 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:220(__init__)
       82    0.003    0.000    0.013    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.012    0.012 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_readers.py:1(<module>)
        3    0.012    0.004    0.012    0.004 {method 'getsockname' of '_socket.socket' objects}
  243/229    0.001    0.000    0.011    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\typing.py:306(inner)
       55    0.001    0.000    0.010    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solution_base.py:564(_make_packet)
       55    0.010    0.000    0.010    0.000 {built-in method builtins.eval}
       52    0.000    0.000    0.009    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\packet_creator.py:54(create_image_frame)
       52    0.009    0.000    0.009    0.000 {built-in method mediapipe.python._framework_bindings._packet_creator._create_image_frame_from_pixel_data}
       18    0.000    0.000    0.007    0.000 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\re.py:288(_compile)
