         7255 function calls (7139 primitive calls) in 7.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.137    0.137 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_handshake.py:141(_get_resp_headers)
        1    0.000    0.000    0.137    0.137 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_http.py:378(read_headers)
        5    0.000    0.000    0.137    0.027 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_socket.py:148(recv_line)
        2    0.000    0.000    0.123    0.061 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\urllib3\response.py:1324(_update_chunk_length)
       20    0.001    0.000    0.112    0.006 receive.py:166(process_data)
        7    0.111    0.016    0.111    0.016 {built-in method nt.stat}
        3    0.031    0.010    0.109    0.036 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.082    0.082 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.082    0.082 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.082    0.082 <frozen importlib._bootstrap_external>:1399(_get_spec)
        3    0.000    0.000    0.082    0.027 <frozen importlib._bootstrap_external>:1536(find_spec)
        5    0.000    0.000    0.081    0.016 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.079    0.040 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\client.py:139(start_background_task)
        2    0.000    0.000    0.079    0.039 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\threading.py:916(start)
        1    0.000    0.000    0.078    0.078 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\urllib3\response.py:1342(_handle_chunk)
        2    0.000    0.000    0.078    0.039 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\http\client.py:624(_safe_read)
        3    0.000    0.000    0.077    0.026 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_socket.py:158(send)
        3    0.000    0.000    0.077    0.026 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_socket.py:165(_send)
        3    0.077    0.026    0.077    0.026 {method 'send' of '_socket.socket' objects}
        2    0.000    0.000    0.076    0.038 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:289(send)
        2    0.000    0.000    0.076    0.038 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:318(send_frame)
        2    0.000    0.000    0.073    0.037 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:572(_send)
        3    0.000    0.000    0.063    0.021 receive.py:85(send_command)
        1    0.000    0.000    0.062    0.062 <frozen importlib._bootstrap>:664(_load_unlocked)
        1    0.000    0.000    0.062    0.062 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.062    0.062 <frozen importlib._bootstrap_external>:950(get_code)
        4    0.051    0.013    0.051    0.013 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:220(__init__)
        1    0.000    0.000    0.047    0.047 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.046    0.046    0.046    0.046 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\context.py:90(__init__)
